,Headlines,Inclination,Source
38,She's Running: Guess Who Just Formed a 2020 Exploratory Committee,right,Townhall
39,New Report On Russian Disinformation Shows The Operation’s Scale And Sweep,right,HotAir
40,Kamala Harris Seeks to Make History With 2020 Presidential Bid,center,Bloomberg
41,"Michael Cohen offered Liberty University CIO $50,000 to rig two online polls for Trump, report says",center,USA TODAY
42,Ex-Trump lawyer: rigging polls 'was at the direction of' Trump,center,Reuters
43,"Cohen Hired IT Firm to Rig Early CNBC, Drudge Polls to Favor Trump",center,Wall Street Journal - News
44,Sen. Kirsten Gillibrand to Launch Exploratory Committee for 2020 Presidential Bid,center,Wall Street Journal - News
45,"Defeated twice, a top climate change crusader has a wake-up call some Democrats won't want to hear",left,NBCNews.com
46,"Supreme Court issues ‘crushing blow’ to Exxon in major climate case, legal experts say",left,ThinkProgress
47,EPA Proposes Gutting Obama-Era Rule Protecting 117 Million Americans’ Water,left,HuffPost
48,David Attenborough: collapse of civilisation is on the horizon,left,The Guardian
49,Trump Administration’s Strategy on Climate: Try to Bury Its Own Scientific Report,left,New York Times - News
50,Us Supreme Court Rejects Exxon’s Plea to Hear Global Warming Case,right,The Daily Caller
51,The EPA Wants to Get Out of Puddles and Ditches. Environmental Activists Are Outraged.,right,Reason
52,Identifying the Problem,right,National Review
53,OPINION: Identifying the Problem,right,Guest Writer - Right
54,Trump doesn't believe U.S. government predictions of huge economic losses from climate change,right,Washington Times
55,U.S. top court rejects Exxon in climate change document dispute,center,Reuters
56,Trump moves to relax Obama-era water protections,center,The Hill
57,Climate Change Emerging From the Political Shadows,center,Wall Street Journal - News
58,A moral test at climate summit: What do rich nations owe poorer ones?,center,Christian Science Monitor
59,Trump rejects findings of U.S. government climate change report,center,Reuters
60,FDA's opioids adviser accuses agency of having 'direct' link to crisis,left,The Guardian
61,Birth Control Coverage Is No Longer Guaranteed in 37 States,left,RollingStone.com
62,"All of Congress’s ideas for bringing down prescription drug prices, explained",left,Vox
63,Falling out,left,Washington Post
64,Ruling Striking Down Obamacare Moves Health Debate to Center Stage,left,New York Times - News
65,"Reality Check: Support for Single-Payer Healthcare Craters When Americans Discover Higher Taxes, Longer Wait Times",right,Townhall
66,Judge blocks Trump rules letting more employers opt out of birth control coverage,right,Washington Times
67,NYC Mayor to Insure 300K Undocumented Immigrants - for Free! And He Wants It for 'the Whole Country',right,CBN
68,Texas ObamaCare Blunder,right,Wall Street Journal - Opinion/Editorial
69,OPINION: Learning the Real Lesson of Obamacare,right,Guest Writer - Right
70,Judge blocks Trump birth control coverage rules in 13 states,center,Associated Press
71,Obamacare: Texas court rules key health law is unconstitutional,center,BBC News
72,President Trump: Ruling against Obamacare offers another chance for repeal and replace,center,USA TODAY
73,Ruling Against Health Law Puts Political Divide in Stark Relief,center,Wall Street Journal - News
74,White House: Obamacare remains intact. Ruling that struck it down is likely to be appealed,center,USA TODAY
75,Trump Asks Supreme Court for Fast Appeal of Transgender Military Ban,left,New York Times - News
76,Trump can't erase transgender people with a memo. But he can make our lives a lot harder.,left,NBCNews.com
77,"The Trump administration’s latest anti-transgender action, explained",left,Vox
78,Trump Administration Eyes Defining Transgender Out of Existence,left,New York Times - News
79,Joe Biden attacks Trump's use of power during LGBTQ dinner speech,left,CNN (Web News)
80,"Pelosi blasts Trump's move to bar transgender troops, calls it 'disgusting' and 'cowardly'",right,Fox News
81,The Trump Administration Isn’t ‘Dehumanizing’ Transgender Americans,right,National Review
82,"When the Political Became the Personal, Gay Rights Triumphed",right,Reason
83,Chelsea Manning and the Problem with Pronouns ,right,National Review
84,"Now That Gorsuch Is Seated, Will Supreme Court Take Up Gay Wedding Cake Case?",right,Reason
85,Trump asks US court for review of transgender military ban,center,BBC News
86,Trump administration considering narrowing legal definition of gender: report,center,The Hill
87,#WeWontBeErased: Outcry over memo proposing US transgender change,center,BBC News
88,Gay rights supporters in India celebrate court ruling,center,USA TODAY
89,Second court rejects Trump bid to stop transgender military recruits,center,Reuters
90,Nuclear Weapons and Warfare,left,RAND Corporation
91,Top General Says He Would Reject An ‘Illegal’ Nuclear Strike Order From Trump,left,HuffPost
92,"Trump takes hard line on Iran, but keeps Obama deal in place",left,ABC News
93,Trump asks Congress to fix Iran deal’s flaws,left,Politico
94,Trump’s “new strategy” on Iran is neither new nor a strategy,left,Vox
95,Nuclear Forces and Strategy,right,The Heritage Foundation
96,"Five Rules for an Age of Terrorism, Nuclear Weapons",right,Cato Institute (blog)
97,High stakes: National security community braces for nuclear brinkmanship if summit fails,right,Washington Times
98,John Bolton: Trump hasn't decided to leave the Iran nuclear deal yet,right,Washington Examiner
99,Top Commander: I'd Decline 'Illegal' Nuclear Order From Trump,right,Newsmax
100,US: North Korea talks moving 'more quickly than expected',center,BBC News
101,North Korea nuclear test tunnels at Punggye-ri 'destroyed',center,BBC News
102,U.S. Outlines Plan on Nuclear-Weapons Use,center,Wall Street Journal - News
103,US nuclear chief would resist 'illegal' presidential strike order,center,BBC News
104,Haley says U.S. to stay in Iran nuclear deal 'right now',center,Reuters
105,Alexandria Ocasio-Cortez is right. A 70% tax on the rich makes sense,left,The Guardian
106,‘Fox & Friends’ Host Falsely Claims Alexandria Ocasio-Cortez Will Tax 70 Percent Of Paychecks,left,HuffPost
107,"Ocasio-Cortez’s 70 Percent Top Tax Rate Is a Moderate, Evidence-Based Policy",left,New York Magazine
108,Time For Another Tax Cut!,left,Mother Jones
109,OPINION: The creation myth of the billionaire businessman Donald Trump just imploded,left,CNN (Web News)
110,OPINION: Alexandria Ocasio-Cortez's 70 Percent Tax Rate Won't Work ,right,Guest Writer - Right
111,Harry Reid Criticizes Ocasio-Cortez Tax Proposal as Too ‘Rapid’,right,The Daily Caller
112,Visions of a 70% Tax Rate,right,Wall Street Journal - Opinion/Editorial
113,Top House Republican aims for new tax law in lame-duck session,right,Washington Examiner
114,Trump: Apple Can Avoid Tariffs by Shifting Production to US ,right,Newsmax
115,Alexandria Ocasio-Cortez has kick-started the Democratic tax debate with her 70% marginal rate idea,center,CNBC
116,OPINION: 70 percent tax is total fantasy,center,Guest Writer
117,"A Year After the Middle Class Tax Cut, the Rich Are Winning",center,Bloomberg
118,"Top U.S. House tax writer floats tax bill on retirement plans, IRS",center,Reuters
119,Follow the Bouncing Ball for Elusive Details on Trump Tax Plan,center,Wall Street Journal - News
120,GOP reaches landmark agreement to juice small-dollar fundraising,left,Politico
121,Michael Cohen Says Trump Almost Certainly Committed a Crime,left,Vanity Fair
122,Trump denies he 'directed' Michael Cohen to break the law as prosecutors contend,left,ABC News
123,"Trump publicly breaks his silence after former ""fixer"" sentenced to 3 years in prison",left,CNN (Web News)
124,Trump Personally Facilitated Hush Money Payments To Stormy Daniels And Karen McDougal: WSJ,left,HuffPost
125,Liberal 'dark money' groups outspent conservative ones in 2018 elections,right,Fox News
126,First on Nancy Pelosi's Agenda: Attacking Free Expression,right,Reason
127,"Trump says he never directed Cohen to break the law, claims lawyer has liability",right,Washington Times
128,Trump arranged hush money payments to Stormy Daniels and Karen McDougal: Report,right,Washington Examiner
129,Report: Trump played central role in hush payoffs to Stormy Daniels and Karen McDougal,right,Fox News
130,Former Trump lawyer Michael Cohen sentenced to three years prison,center,Reuters
131,Trump says ex-lawyer Cohen's crimes are 'unrelated to me',center,Reuters
132,Donald Trump Played Central Role in Hush Payoffs to Stormy Daniels and Karen McDougal,center,Wall Street Journal - News
133,Trump raises $100M for reelection bid,center,The Hill
134,How Many Republicans is George Soros Backing in November?,center,IVN
135,Trump Has Promised to Bring Jobs Back. His Tariffs Threaten to Send Them Away.,left,New York Times - News
136,U.S. Jobs Report Highlights Economy’s Strength Despite Market Tumult,left,New York Times - News
137,"Economy added 312,000 jobs in December",left,Politico
138,Dow Jones industrial average rises over 2 percent as U.S. stock markets try to recover from worst Christmas Eve in history,left,Washington Post
139,Economic growth is slowing all around the world,left,Washington Post
140,"US economy added 312,000 jobs in December, blowing past expectations",right,Fox News
141,"Dow soars in seesaw session after Christmas Eve plunge; tech, retail lead gains",right,Fox News
142,Stocks retreat on government shutdown fears,right,Fox News
143,America's Economic Health Has Improved,right,Reason
144,General Motors factory closures could hurt Trump in 2020,right,Washington Examiner
145,Government shutdown at one month: Where things stand for the average American,center,USA TODAY
147,Shutdown Pinches Economic Growth,center,Wall Street Journal - News
148,'Whatever It Takes': Government Workers Apply For Unemployment As Shutdown Drags On,center,NPR News
149,'An Eerie Silence' Where Federal Land Agency Workers Are Furloughed,center,NPR News
150,‘You couldn’t spend a dime?’: Jay Inslee ticks off the wrong state,left,Politico
151, ‘The new straw poll’: 2020 candidates race to build small-donor armies,left,Politico
152,What do the suburbs want?,left,Vox
153,"In Stunning Power Grab, Wisconsin Republicans Pass Bill Weakening New Governor",left,HuffPost
154,The Lame-Duck Power Grab,left,Slate
155,Los Angeles County agrees to purge up to 1.5 million voters from its rolls in settlement,right,Washington Times
156,"Hillary Clinton meets with Dem 2020 hopefuls seeking her support, gives advice: report",right,Fox News
157,Progressive Activists Are Poised to Hurt Democrats’ Chances in 2020,right,National Review
158,Republicans wrap up election probes as Dems prepare to take control,right,Fox News
159,"OPINION: Civil is nice, but winning elections is better",right,Guest Writer - Right
160,Fight over North Carolina race set to drag on for months,center,The Hill
161,Wisconsin Republicans pass bill to curb incoming Democrats' power,center,Reuters
162,"Republican-controlled Wisconsin Legislature clears measures weakening incoming Democratic governor, attorney general",center,USA TODAY
163,Republican campaign emails hacked months before election,center,Reuters
164,Republican Hyde-Smith Beats Democrat Espy in Mississippi Senate Runoff,center,Wall Street Journal - News
165,Stars of ‘Intellectual Dark Web’ Scramble to Save Their Cash Cows,left,Daily Beast
166,Are Google and Facebook really suppressing conservative politics?,left,The Guardian
167,Former 'SNL' writer Nimesh Patel kicked off stage at Columbia University for 'inappropriate' standup set,left,Yahoo! News
168,"Donald Trump and Jim Acosta, a Love Story",left,Politico
169,Fox News and other outlets join CNN fight over press access to White House,left,CNN (Web News)
170,"Jordan Peterson is leaving Patreon, should you?",right,Washington Examiner
171,"Franklin Graham Suspended by Facebook, Blocked for His Biblical 'Hate Speech'",right,CBN
172,‘Free Speech’ Means Just That,right,National Review
173,Mary Washington Ruling Threatens Free Speech on Campus,right,Reason
174,Jordan B. Peterson's free speech fight: Author plans to ditch Patreon as censorship battle rages,right,Washington Times
175,Judge will decide Friday whether to force White House to restore press credential to CNN's Jim Acosta,center,USA TODAY
176,"Fox News, other outlets back CNN’s lawsuit against Trump administration",center,The Hill
177,CNN sues White House over revoked credentials of correspondent,center,Reuters
178,"CNN sues Trump administration, demands return of Jim Acosta's White House credentials",center,USA TODAY
179,OPINION: Social media companies are the real 'enemies of the people',center,USA TODAY
180,Room for Debate: Should ‘Birthright Citizenship’ Be Abolished?,left,New York Times - News
181,"In Trump’s Immigration Announcement, a Compromise Snubbed All Around",left,New York Times - News
182,Democratic lawmakers reject Trump's latest immigration proposal,left,CNN (Web News)
183,Trump offers 3-year extension of protection for ‘dreamers’ in exchange for $5.7 billion for wall; Democrats call it a ‘non-starter’,left,Washington Post
184,IG: Trump administration took thousands more migrant children from parents,left,Washington Post
185,"To End the Shutdown, Try Thinking Big on Immigration",right,Wall Street Journal - Opinion/Editorial
186,Trump yields on 3 immigration policies in effort to reach compromise on wall,right,Washington Times
187,Trump’s immigration offer brings sharp reactions from Dems and GOP,right,Fox News
188,Helping Immigrants and Funding the Wall: Why Some in Washington Say the US Can Do Both,right,CBN
189,"OPINION: The Left, the Wall, the Truth",right,Guest Writer - Right
190,'It's anyone's guess what happens next': Democrats shoot down Trump's plan to end shutdown,center,USA TODAY
191,"Democrats Reject Trump Border Wall Proposal, Calling It A 'Non-Starter'",center,NPR News
192,Trump Takes Aim at Democrats Over Rejected DACA Offer,center,Wall Street Journal - News
193,Government shutdown: Is there a crisis on the US-Mexico border?,center,BBC News
194,"Trump, Democrats dig in ahead of meeting on government shutdown",center,Reuters
195,The Media Botched the Covington Catholic Story,left,The Atlantic
196,Chuck Todd Refuses To Give Air Time To Climate Deniers: ‘The Science Is Settled’,left,HuffPost
197,Brett Kavanaugh worried that scandal would end his coaching days. Now the Supreme Court justice is back on the basketball court.,left,Washington Post
198,"Trump Slams CNN Again On Twitter, Proposes ‘Starting Our Own Worldwide Network’",left,HuffPost
199,Trump Proposes State-Run Tv Network to Show the World How Great He Is,left,Vanity Fair
200,Media Shows Its Face in Attack on Kids,right,American Spectator
201,How Liberal Media Botched Story of Incident Between Catholic Teens and Native American,right,CBN
202,"Reckless media inflame BuzzFeed mess, slander Catholic students at protest",right,Fox News
203,The Media’s ‘Climate of Hate’ Myth,right,American Spectator
204,Can You Trust The Press? (Video),right,Prager University
205,Chuck Todd says his show is 'not going to give time to climate deniers',center,The Hill
206,"CRTV, TheBlaze merge, bringing together conservatives Glenn Beck, Mark Levin",center,The Hill
207,WaPo places story on Kavanaugh returning to coach girls basketball in 'public safety' section,center,The Hill
208,Trump suggests government start its own worldwide television network,center,The Hill
209,"Fox News: We do 'not condone' hosts Hannity, Pirro participating in Trump campaign events",center,The Hill
210,A new theory for why Republicans and Democrats see the world differently,left,Vox
211,Trump would never have been the nominee if the Republican Party were stronger.,left,Washington Post
212,"OPINION: In 2008, there was hope. In 2081, there was hurt. This is America's state of hate.",left,Guest Writer - Left
213,"Politics really is ruining Thanksgiving, according to data from 10 million cellphones",left,Washington Post
214,‘Takes all of the oxygen out’: Trump further divides political map for 2020,left,Washington Post
215,"Sex, Lies, and Videotape — A Week in the Culture War",right,American Spectator
216,Snowplow Politics,right,National Review
217,OPINION: America's Partisanship Is An Inevitable Evolution Of Its Democracy,right,Guest Writer - Right
218,"'This has spiraled downward': Trump, top Democrats put raw partisan divide on full display",right,Washington Times
219,"Sen. Mitch McConnell: Will Dems work with us, or simply put partisan politics ahead of the country?",right,Fox News Editorial
220,GOP laments Bush’s death as end of ‘a culture of civility’,center,Associated Press
221,Polarized Politics In The Scrooge Economy,center,Socialist Worker
222,American anxiety,center,The Week
223,McConnell pens editorial calling for bipartisanship after Dems take House,center,The Hill
224,Activists converge on home of Fox's Tucker Carlson: 'You are not safe',center,The Hill
225,What ISIS Really Wants,left,The Atlantic
226,OPINION: The Real Lesson of Sept. 11,left,New York Times - News
227,"""ISIS 3.0"": How Silicon Valley Gave Rise to the Next Generation of Terror",left,Vanity Fair
228,New York Today: An Explosion at Rush Hour,left,New York Times - News
229,Terror suspect sets off pipe bomb in underground subway passage near Port Authority Bus Terminal,left,New York Daily News
230,"Iranian terrorists lurk abroad in guise of diplomats, dissidents report",right,Washington Times
231,Al Qaeda returns? UN panel warns of new bin Laden threat,right,Fox News
232,"Meet ETIM, the terrorist group the US just bombed in Afghanistan",right,Washington Examiner
233,Port Authority explosion: Suspect ID'd in 'attempted terrorist attack',right,Fox News
234,Lindsey Graham: NYC bombing suspect should be held as enemy combatant,right,Washington Examiner
235,"Paris attacker born in Chechnya, was in police database of extremists",center,USA TODAY
236,IS video 'shows deaths of US soldiers in Niger ambush',center,BBC News
237,White Supremacists Killed More Americans Last Year Than Any Other Domestic-Extremist Group,center,Defense One
238,Suspect in Times Square blast timed assault for maximum impact,center,USA TODAY
239,New York Port Authority attack: Man held after Manhattan blast,center,BBC News
240,It’s Unanimous: Senate Approves Long-Suffering Anti-Lynching Bill,left,Newsweek
241,NY Lawmaker Wants To Make Calling Cops On Innocent Black People A Hate Crime,left,HuffPost
242,Oppression in America: 'To root this out we need a movement against racist policies',left,The Guardian
243,The sanctification — and sanitization — of Martin Luther King Jr.,left,Vox
244,Bernice King Believes It’s ‘Critical’ To Heed Martin Luther King’s Lessons Today,left,HuffPost
245,Senate passes anti-lynching bill after nearly 200 failed attempts,right,Washington Times
246,"Judge rejects DOJ, orders speedy trial on Census citizenship question",right,Washington Times
247,Some Racism Is More Equal Than Others,right,American Spectator
248,"Facebook commits to civil rights audit, probe of alleged anti-conservative bias",right,Fox News
249,"Martin Luther King’s wisdom, words and compassion are needed now more than ever",right,Fox News Editorial
250,US passes first anti-lynching law after Senate vote,center,BBC News
251,"George H.W. Bush leaves mixed record on race, civil rights",center,USA TODAY
252,Trump's Race-Baiting Has Infested the GOP,center,Bloomberg
253,Martin Luther King: Are there too many white politicians?,center,BBC News
254,Trump attends civil rights museum opening; black leaders stay away,center,Reuters
255,Implementation of the Common Core State Standards,left,RAND Corporation
256,"The school that hired Karen Pence requires applicants to disavow gay marriage, trans identity",left,Washington Post
257,Betsy DeVos's Commission Says A Way To Prevent School Shootings Is To Drop Disciplinary Protections For Minority Students,left,BuzzFeed News
258,"15,000 defrauded borrowers to have their student loans forgiven after judge rules against DeVos",left,ThinkProgress
259,Why I’m Giving $1.8 Billion for College Financial Aid,left,Michael Bloomberg
260,Secretary Devos Makes Rare Public Appearance Following Biking Accident to Tout School Choice Program,right,CBN
261,Stossel: Exposing Students to Free Markets,right,Reason
262,"Karen Pence just wants to teach art, but people are mad the school has standard Christian beliefs",right,Washington Examiner
263,Donald Trump School Safety Report Urges More Responsible Media Coverage of Mass Shooters,right,Breitbart News
264,"Trump to arm more adults in schools, end Obama's light discipline of troubled students",right,Washington Times
265,Trump admin seeks to roll back Obama-era policy on school discipline: report,center,The Hill
266,DeVos To Rescind Obama-Era Guidance On School Discipline,center,NPR News
267,"After losing court battle, DeVos to cancel $150 million in student loan debt",center,USA TODAY
268,Michael Bloomberg to Give Johns Hopkins Record $1.8 Billion,center,Wall Street Journal - News
269,"The Teacher Walkouts Moved These Educators To Run. Now, They're Facing Off",center,NPR News
270,Trump's White House just gave you another reason to buy an electric car right away,left,Mashable
271,Iowans were hit hard by tariffs. Trump's new ethanol policy may help Republicans in the midterms.,left,Washington Post
272,"E.P.A.’s New Coal Pollution Rules Will Lead to More Deaths, Agency’s Numbers Show",left,New York Times - News
273,Trump’s Plan for Coal Emissions: Let Coal States Regulate Them,left,New York Times - News
274,"Protester Confronts Zinke On Climate Change, He Snaps: ‘You Haven’t Served’",left,HuffPost
275,Trump EPA orders rollback of Obama mercury regulations,right,Fox News
276,"Trump plans to end subsidies for electric cars, renewable energy",right,Washington Times
277,Trump’s ethanol move is good news for motorists: Pacific Ethanol CEO,right,Fox News
278,"EPA claims replacement for Obama coal rule would save $400 million annually, reduce pollution",right,Washington Examiner
279,"Short on Cash, DNC Does About-Face on Fossil Fuel Donations",right,Townhall
280,President Trump can't stop U.S. coal plants from retiring,center,Reuters
281,Trump Aide Larry Kudlow Calls for End of Electric Vehicle Subsidies,center,Bloomberg
282,Trump to lift ban on higher-ethanol gasoline ahead of November elections,center,Reuters
283,EPA Head Signs Proposal to Undo Restrictions on Coal Plants,center,Wall Street Journal - News
284,"White House Proposal Rolls Back Fuel Economy Standards, No Exception For California",center,NPR News
285,Why the NRA is struggling,left,Vox
286,Democrats to honor sad anniversary in introducing gun background checks bill on Tuesday,left,Daily Kos
287,Justice Department will ban bump-stock devices that turn rifles into fully automatic weapons,left,Washington Post
288,Newly empowered Democrats ramp up calls for stronger gun control,left,The Guardian
289,British Prime Minister Battles To Save Brexit Deal As Ministers Quit,left,HuffPost
290,House Democrats to introduce gun background check bill next week,right,TheBlaze.com
291,California Says Residents With Vacated Out-of-State Convictions May Not Own Guns,right,Reason
292,"DOJ, ATF Are About to Find Themselves in Court Over the Newly-Released Bump Stock Ban",right,Townhall
293,"Oakland University, a Gun-Free Zone, Is Giving Students Hockey Pucks to Defend Themselves from Mass Shooters",right,Reason
294,South Dakotans may soon be able to carry concealed handguns without a permit,right,Fox News
295,Trump administration bans bump stocks,center,The Hill
296,Levi Strauss CEO: Why Business Leaders Need to Take a Stand on Gun Violence,center,Fortune
297,Betsy DeVos says she won't stand in way of schools buying guns,center,USA TODAY
298,David Hogg plans to run for Congress when he’s 25,center,The Hill
299,Are security upgrades enough for Texas school shooting students?,center,USA TODAY
300,Martin Luther King Jr. and the White Delusion of a 'Non-Racist' America,left,The Root
301,NPR teaches listeners about the proper care and feeding of white nationalists,left,Washington Post
302,Mitt Romney’s statement on the Charlottesville anniversary strikes a chord Trump cannot,left,Vox
303,"In Trump's White House, Charlottesville was a moment that wasn't",left,CNN (Web News)
304,"Income inequality is changing how we think, live, and die",left,Vox
305,"Where Are You, Martin Luther King?",right,Prager University
306,The Problem with the Left’s Attempts to Redefine Racism,right,National Review
307,The alienation behind the madness of Unite the Right,right,Washington Examiner
308,"Trump denounces ‘all types of racism’ ahead of Unite the Right rally, anniversary",right,Washington Examiner
309,The Tyranny of the Administrative State,right,Reason
310,What Constitutes Racism?,center,AllSides
311,‘Unite the Right 2’ exposes white nationalist movement in disarray,center,The Hill
312,"A year after Charlottesville rally, white nationalists enter mainstream conversation",center,USA TODAY
313,"A Year After Charlottesville, the Alt-Right Movement Frays",center,Wall Street Journal - News
314,Trump signs resolution killing rule intended to prevent racial bias in auto lending,center,USA TODAY
315,This is not the way to leave Syria,left,Washington Post
316,The entire Senate just said Trump is wrong about Jamal Khashoggi,left,Washington Post
317,The Wooing of Jared Kushner: How the Saudis Got a Friend in the White House,left,New York Times - News
318,"Senators, Furious Over Khashoggi Killing, Spurn President on War in Yemen",left,New York Times - News
319,"For Trump, the Truth About Jamal Khashoggi Is Beside the Point",left,The Atlantic
320,The Mission in Syria Was Mission Creep,right,National Review
321,"The Frustrating Necessity of Staying in Syria and Afghanistan, Explained",right,National Review
322,"Senator Marco Rubio: Hold Saudis accountable, but don't ignore Iran in Yemen",right,Fox News Editorial
323,Mattis Says There Is 'No Smoking Gun' Connecting Saudi Crown Prince to Khashoggi's Murder,right,Townhall
324,Trump's mealy-mouthed statement on the Jamal Khashoggi murder is actually prudent,right,Washington Examiner
325,"Four Americans Killed in Islamic State Attack in Syria, Official Says",center,Bloomberg
326,Syrian surprise: How Trump's phone call changed the war,center,Reuters
327,Syria war: Pro-government forces 'enter Manbij' amid Turkey threats,center,BBC News
328,Senators vote to end US backing for Saudi war on Yemen,center,BBC News
329,Turkish prosecutor seeks arrests of Saudis over Khashoggi murder,center,Al Jazeera
330,Small hand of government: Trump's aim to shrink the state pleases conservatives,left,The Guardian
331,New York City to End Solitary Confinement for Inmates 21 and Under,left,New York Times - News
332,Think bigger,left,Washington Post
333,The end of government,left,Washington Post
334,Obama: There are legitimate reasons to worry about federal overreach,left,Washington Post
335,The Right Should Reject Tucker Carlson’s Victimhood Populism,right,National Review
336,"OPINION: When Government Becomes Everything, Everything Becomes Crazy",right,Ben Shapiro
337,A Fairness Doctrine for the Internet?,right,National Review
338,Trump’s DACA Repeal Is a Pause in the Trend toward Executive Overreach  ,right,National Review
339,Why Libertarians Should Want *More* Trust in Government,right,Reason
340,Trump says he's trying to 'reduce size of government' — but he's really not,center,USA TODAY
341,Houston floods: White House seeks disaster aid from Congress,center,BBC News
342,Why courts could rein in executive power – after decades of allowing it,center,Christian Science Monitor
343,"Missing Perspectives: What’s more important, democracy or limited government?",center,Beth Ballentine
344,"When leaders cheat, followers ... follow",center,USA TODAY
345,Remember when Trump said he’d fix the trade deficit? It just rose again.,left,ThinkProgress
346,Trump has threatened to withdraw from NAFTA. What’s next?,left,Vox
347,Lawmakers wary of Trump’s threat to cancel NAFTA,left,Washington Post
348,"After Trump summit, no mention in China of 90-day deadline or trade concessions",left,Washington Post
349,"Trump Calls Truce in China Trade War a Big Success, but Little Is Known About the Deal",left,New York Times - News
350,"After Trump touts ‘Big progress’ in trade talks, China expresses willingness to work with US through ‘storms’",right,Fox News
351,Trump corners Democrats with threat to kill NAFTA: 'It is going to force Congress to act',right,Washington Times
352,OPINION: The Dangers of Asymmetry,right,Victor Hanson
353,"China in Trouble: Exports, Imports Shrinking",right,Newsmax
354,Trump's War on Trade,right,Reason
355,"Wilbur Ross Says U.S., China ‘Miles and Miles’ From Resolving Trade War",center,Bloomberg
356,U.S. Pushes China to Follow Through on Trade Promises,center,Wall Street Journal - News
357,U.S. and China Fleshing Out Trade Deal,center,Wall Street Journal - News
358,China Heads Into Trade Talks Bracing for More U.S. Demands,center,Bloomberg
359,China Prepares Policy to Increase Access for Foreign Companies,center,Wall Street Journal - News
360,Paul Manafort in court to face Mueller probe allegations he lied after pleading guilty,left,Washington Post
361,Everyone Who’s Been Charged in Investigations Related to the 2016 Election,left,New York Times - News
362,Trump ally Roger Stone arrested on seven charges in Mueller inquiry,left,The Guardian
363,"Roger Stone’s arrest and indictment, explained",left,Vox
364,"Mueller indicts Roger Stone, says he was coordinating with Trump officials about WikiLeaks' stolen emails",left,CNN (Web News)
365,Everyone is still wrong about the Covington kids,left,Washington Post
367,Senators hope defeat of dueling plans produces a solution to shutdown,left,Washington Post
368,"OPINION: A Contest of Wills, and a Way Out",left,Guest Writer - Left
369,The real reason the Senate is taking 2 doomed votes to end the shutdown,left,Vox
370,OPINION: Pelosi claims win over Trump in State of the Union showdown,left,CNN - Editorial
